ax,ay,az,gx,gy,gz
-6.87,1.10,-5.32,0.04,0.08,0.13
-6.76,1.08,-5.44,0.03,0.06,0.11
-6.74,1.02,-5.44,0.03,0.05,0.08
-6.49,0.77,-5.42,0.02,0.04,0.05
-6.34,0.61,-5.43,-0.02,-0.00,0.03
-6.72,0.76,-5.49,-0.07,-0.03,0.05
-7.10,0.97,-5.50,-0.10,-0.02,0.08
-6.79,0.91,-5.43,-0.10,0.02,0.07
-6.35,0.89,-5.33,-0.12,0.01,0.03
-6.49,1.10,-5.31,-0.14,-0.03,0.01
-6.81,1.45,-5.31,-0.15,-0.06,0.03
-7.13,1.66,-5.32,-0.13,-0.05,0.06
-7.29,1.79,-5.32,-0.09,-0.01,0.08
-7.10,1.73,-5.28,-0.05,0.04,0.09
-6.64,1.53,-5.21,-0.01,0.08,0.10
-5.83,1.10,-5.10,0.00,0.07,0.07
-5.53,0.72,-5.22,-0.04,-0.02,0.05
-6.08,0.95,-5.24,-0.10,-0.10,0.09
-6.61,1.23,-5.18,-0.12,-0.12,0.15
-6.63,1.23,-5.16,-0.12,-0.11,0.14
-6.37,1.13,-5.07,-0.11,-0.11,0.04
-6.56,1.19,-5.13,-0.11,-0.13,-0.07
-7.38,1.44,-5.20,-0.11,-0.14,-0.04
-8.01,1.58,-5.26,-0.11,-0.07,0.07
-7.47,1.44,-5.14,-0.09,0.03,0.12
-6.62,1.07,-5.04,-0.08,0.07,0.07
-5.89,0.91,-4.99,-0.09,0.01,-0.04
-6.13,1.10,-5.05,-0.13,-0.12,-0.08
-7.37,1.62,-5.18,-0.18,-0.22,0.03
-8.66,2.12,-5.31,-0.18,-0.18,0.23
-8.60,2.03,-5.30,-0.11,-0.02,0.26
-7.40,1.57,-5.07,-0.03,0.14,0.12
-5.88,1.15,-4.86,0.00,0.15,-0.01
-5.46,1.01,-4.95,-0.01,0.03,-0.08
-6.29,1.03,-5.03,-0.06,-0.07,-0.01
-7.11,1.13,-5.07,-0.10,-0.08,0.13
-7.08,1.18,-4.97,-0.12,-0.01,0.19
-6.36,1.02,-4.81,-0.12,0.00,0.09
-6.37,1.33,-4.88,-0.12,-0.04,-0.05
-6.89,1.72,-4.89,-0.10,-0.07,-0.15
-7.62,1.64,-4.97,-0.08,-0.05,-0.10
-7.51,1.49,-4.94,-0.08,-0.01,0.05
-6.90,1.22,-4.94,-0.11,-0.00,0.16
-6.43,1.16,-4.89,-0.14,-0.05,0.16
-7.10,1.11,-4.95,-0.16,-0.10,0.09
-7.72,1.62,-5.09,-0.17,-0.07,0.06
-7.89,1.81,-5.03,-0.14,0.02,0.10
-7.00,1.63,-4.88,-0.09,0.10,0.08
-5.95,1.05,-4.82,-0.10,0.05,0.10
-5.78,0.96,-4.93,-0.16,-0.09,0.12
-6.68,1.17,-5.07,-0.22,-0.22,0.13
-8.03,1.73,-5.14,-0.24,-0.20,0.19
-7.72,1.93,-4.91,-0.18,-0.09,0.12
-7.11,1.76,-4.87,-0.12,-0.05,-0.04
-7.22,1.75,-4.77,-0.09,-0.03,-0.09
-7.24,1.67,-4.79,-0.06,-0.01,-0.12
-7.10,1.40,-4.78,-0.07,-0.01,-0.05
-6.72,1.24,-4.69,-0.10,-0.01,-0.01
-6.79,1.23,-4.65,-0.12,-0.06,-0.02
-7.56,1.64,-4.76,-0.13,-0.05,-0.09
-7.78,1.93,-4.75,-0.09,0.01,-0.15
-7.61,1.71,-4.87,-0.05,0.04,-0.24
-7.94,1.32,-5.09,-0.07,0.01,-0.26
-8.83,1.52,-5.28,-0.15,0.01,-0.08
-8.76,1.95,-5.15,-0.18,0.09,0.12
-7.71,2.13,-5.01,-0.15,0.16,0.22
-6.73,1.93,-4.84,-0.08,0.19,0.19
-5.98,1.36,-4.76,-0.02,0.16,0.06
-5.87,0.95,-4.78,-0.03,0.08,-0.01
-6.14,0.96,-4.71,-0.06,0.02,0.00
-6.23,1.20,-4.59,-0.08,-0.01,-0.01
-6.43,1.18,-4.59,-0.08,-0.04,-0.01
-6.78,1.23,-4.58,-0.09,-0.05,-0.01
-7.21,1.29,-4.58,-0.09,-0.03,0.01
-6.74,1.16,-4.58,-0.07,0.01,-0.04
-6.37,0.92,-4.61,-0.09,-0.06,-0.12
-7.04,1.15,-4.74,-0.13,-0.13,-0.14
-7.53,1.59,-4.74,-0.14,-0.15,-0.08
-7.28,1.72,-4.68,-0.14,-0.16,-0.00
-6.95,1.66,-4.68,-0.11,-0.18,-0.03
-7.24,1.66,-4.75,-0.07,-0.22,-0.12
-7.64,1.77,-4.76,-0.04,-0.24,-0.20
-8.32,1.99,-4.85,-0.00,-0.24,-0.20
-9.07,2.05,-4.74,0.04,-0.15,-0.10
-8.61,1.69,-4.57,0.10,0.01,-0.01
-6.56,1.12,-4.38,0.14,0.07,-0.09
-6.13,0.88,-4.44,0.14,-0.03,-0.18
-7.04,0.93,-4.43,0.13,-0.10,-0.20
-7.59,0.79,-4.50,0.11,-0.12,-0.15
-8.15,0.74,-4.49,0.07,-0.10,-0.06
-8.04,0.57,-4.46,0.03,-0.03,0.02
-7.01,0.55,-4.31,0.01,0.00,-0.02
-6.29,0.81,-4.24,0.01,-0.07,-0.08
-6.63,1.01,-4.23,0.03,-0.16,-0.16
-8.01,1.00,-4.22,0.05,-0.19,-0.16
-9.33,0.47,-4.44,0.05,-0.10,-0.09
-9.87,0.09,-4.62,0.01,0.06,-0.05
-8.63,-0.04,-4.55,-0.06,0.19,0.03
-6.99,0.22,-4.48,-0.12,0.19,0.09
-5.94,0.80,-4.43,-0.14,0.09,0.05
