ax,ay,az,gx,gy,gz
-8.90,-6.19,-4.75,-0.11,0.20,0.27
-7.32,-5.71,-4.50,-0.35,0.24,0.52
-6.52,-4.65,-4.13,-0.45,0.19,0.56
-6.22,-4.14,-3.89,-0.48,0.12,0.56
-6.32,-4.08,-4.16,-0.49,0.03,0.56
-7.06,-4.78,-4.69,-0.55,-0.01,0.55
-7.53,-4.80,-4.84,-0.65,0.02,0.44
-7.61,-4.23,-4.84,-0.74,0.09,0.31
-6.98,-3.32,-4.40,-0.75,0.14,0.15
-6.32,-2.72,-4.19,-0.71,0.12,0.09
-6.46,-2.54,-4.31,-0.66,0.07,0.09
-6.67,-2.44,-4.40,-0.62,0.05,0.09
-7.03,-2.65,-4.65,-0.59,0.06,0.05
-7.00,-2.59,-4.57,-0.60,0.08,0.03
-6.63,-2.30,-4.50,-0.59,0.08,-0.02
-6.38,-1.97,-4.32,-0.55,0.05,-0.10
-6.61,-1.75,-4.46,-0.49,0.01,-0.18
-7.37,-2.28,-4.83,-0.46,-0.01,-0.18
-7.50,-2.22,-4.87,-0.49,0.02,-0.14
-7.06,-1.76,-4.71,-0.47,0.04,-0.12
-6.89,-1.66,-4.75,-0.39,0.03,-0.16
-6.87,-2.07,-4.83,-0.34,0.01,-0.13
-7.11,-2.65,-4.91,-0.33,-0.00,-0.07
-7.30,-2.98,-5.20,-0.38,0.01,-0.01
-7.18,-2.85,-5.16,-0.44,0.03,0.04
-7.00,-2.54,-5.09,-0.46,0.04,0.03
-6.64,-2.48,-5.01,-0.46,0.03,0.02
-6.46,-2.52,-5.04,-0.47,0.01,-0.02
-6.49,-2.69,-5.09,-0.48,-0.00,-0.10
-6.64,-2.73,-5.15,-0.51,-0.01,-0.16
-6.69,-2.61,-5.13,-0.56,-0.02,-0.12
-6.09,-2.12,-4.88,-0.58,-0.03,-0.11
-5.66,-1.65,-4.70,-0.55,-0.10,-0.15
-5.78,-1.32,-4.63,-0.47,-0.18,-0.27
-6.50,-1.34,-4.76,-0.39,-0.24,-0.34
-6.99,-1.63,-4.93,-0.34,-0.24,-0.40
-7.04,-1.78,-4.81,-0.34,-0.25,-0.35
-7.39,-1.38,-4.80,-0.30,-0.26,-0.34
-8.01,-1.43,-4.93,-0.26,-0.25,-0.21
-8.04,-1.66,-5.02,-0.21,-0.20,-0.14
-8.03,-2.27,-5.18,-0.20,-0.15,-0.10
-8.03,-2.46,-5.19,-0.24,-0.10,-0.05
-7.88,-1.91,-5.08,-0.26,-0.05,0.03
-7.65,-1.68,-4.92,-0.23,-0.02,0.09
-7.45,-2.13,-4.89,-0.20,0.00,0.12
-7.01,-2.51,-4.88,-0.20,-0.00,0.11
-6.90,-2.67,-4.80,-0.23,-0.02,0.07
-7.13,-2.61,-4.89,-0.25,-0.03,0.03
-7.32,-2.80,-4.83,-0.29,-0.03,0.06
-7.16,-2.42,-4.69,-0.31,-0.03,0.08
-7.11,-2.29,-4.51,-0.31,-0.03,0.08
-6.85,-1.83,-4.52,-0.28,-0.04,0.03
-6.78,-1.77,-4.58,-0.22,-0.07,-0.01
-6.98,-2.26,-4.80,-0.18,-0.09,-0.03
-7.22,-3.12,-5.00,-0.22,-0.09,0.00
-7.26,-2.89,-4.98,-0.31,-0.08,-0.04
-7.43,-1.92,-4.84,-0.36,-0.08,-0.11
-7.58,-0.65,-4.70,-0.31,-0.06,-0.21
-7.55,-0.01,-4.67,-0.17,-0.05,-0.27
-8.30,-0.76,-5.01,-0.05,-0.06,-0.14
-9.00,-1.75,-5.34,-0.05,0.00,0.10
-8.79,-2.16,-5.19,-0.11,0.10,0.17
-8.24,-1.44,-4.71,-0.16,0.16,0.10
-8.52,0.24,-4.53,-0.12,0.19,0.01
-8.67,1.71,-4.35,0.05,0.23,0.06
-8.22,1.29,-4.56,0.32,0.28,0.14
-7.34,-1.16,-4.95,0.48,0.33,0.20
-6.02,-3.18,-5.25,0.44,0.31,0.24
-5.54,-3.97,-5.18,0.30,0.26,0.17
-5.59,-3.08,-5.17,0.20,0.20,0.04
-5.78,-2.37,-5.14,0.19,0.15,0.06
