ax,ay,az,gx,gy,gz
-7.49,-2.69,-3.27,0.12,0.13,0.10
-7.66,-3.07,-3.35,0.17,0.07,0.17
-8.11,-4.19,-3.31,0.21,0.07,0.03
-8.76,-6.33,-3.54,0.13,0.10,0.07
-9.18,-7.80,-3.61,-0.11,0.20,0.16
-8.46,-7.58,-3.32,-0.41,0.32,0.13
-6.93,-5.94,-2.51,-0.61,0.34,0.02
-6.05,-4.69,-2.13,-0.65,0.23,-0.20
-6.61,-4.32,-2.21,-0.65,0.13,-0.36
-7.56,-4.48,-2.54,-0.70,0.16,-0.37
-6.66,-4.09,-2.00,-0.82,0.26,-0.15
-5.20,-3.47,-1.12,-0.90,0.19,0.09
-4.72,-3.80,-1.10,-0.89,0.02,-0.11
-4.91,-4.28,-1.46,-0.93,-0.15,-0.34
-5.48,-4.19,-1.91,-1.03,-0.22,-0.43
-6.36,-3.45,-2.14,-1.18,-0.19,-0.30
-6.59,-2.03,-2.08,-1.27,-0.11,-0.22
-6.81,-0.46,-2.11,-1.24,-0.05,-0.22
-6.40,0.74,-1.85,-1.12,-0.01,-0.23
-5.57,1.60,-1.26,-0.89,-0.08,-0.22
-5.60,0.81,-1.28,-0.61,-0.24,-0.30
-6.92,-1.78,-2.21,-0.51,-0.37,-0.35
-8.75,-2.33,-2.98,-0.68,-0.34,-0.26
-8.72,-0.11,-2.25,-0.80,-0.25,-0.08
-8.49,1.38,-1.91,-0.66,-0.21,-0.10
-8.42,0.40,-2.20,-0.47,-0.24,-0.10
-8.71,-1.35,-3.32,-0.44,-0.22,-0.23
-10.04,-1.67,-3.33,-0.59,-0.10,-0.02
-9.17,-0.20,-3.14,-0.76,0.04,0.42
-7.66,1.26,-2.69,-0.71,0.07,0.54
-6.76,1.73,-2.56,-0.45,-0.08,0.33
-6.94,0.14,-2.85,-0.24,-0.24,0.12
-6.53,-0.58,-2.58,-0.12,-0.39,-0.10
-6.71,-1.81,-2.46,-0.10,-0.60,-0.12
-9.15,-2.44,-2.67,-0.17,-0.71,-0.09
-10.84,-2.28,-2.79,-0.28,-0.56,-0.03
-10.30,-1.78,-2.34,-0.41,-0.32,0.21
-7.69,-0.52,-1.53,-0.48,-0.24,0.37
-6.78,0.61,-1.31,-0.36,-0.42,0.25
-7.77,0.17,-1.64,-0.20,-0.59,-0.01
-9.72,0.56,-1.88,-0.12,-0.60,-0.06
-9.93,1.11,-1.87,-0.03,-0.46,0.05
-8.43,1.22,-1.53,0.05,-0.46,0.35
-9.06,1.57,-1.42,0.20,-0.58,0.39
-11.41,2.05,-1.53,0.45,-0.59,0.08
-12.25,0.94,-1.71,0.66,-0.40,0.02
-10.53,-0.18,-1.75,0.67,-0.25,0.28
-8.97,-0.25,-1.58,0.64,-0.27,0.56
-9.41,0.36,-1.60,0.67,-0.39,0.64
-10.21,0.59,-1.54,0.81,-0.45,0.37
-10.80,0.28,-1.41,0.92,-0.44,0.28
-10.75,-0.13,-1.22,0.97,-0.41,0.36
-10.72,-0.53,-1.30,0.96,-0.39,0.52
-10.59,-0.25,-1.18,0.98,-0.38,0.47
-11.42,0.20,-1.14,1.07,-0.38,0.37
-12.01,-0.51,-1.12,1.17,-0.29,0.25
-11.99,-1.25,-1.19,1.16,-0.17,0.25
-11.41,-1.05,-1.16,1.09,-0.05,0.39
-10.24,-0.15,-0.94,1.09,0.00,0.48
-9.87,0.38,-0.77,1.18,-0.05,0.51
-10.41,0.21,-0.68,1.31,-0.07,0.49
-10.51,-0.86,-0.74,1.41,-0.05,0.45
-10.68,-1.98,-0.78,1.41,-0.07,0.49
-11.24,-2.58,-1.07,1.35,-0.05,0.54
-11.17,-3.14,-1.19,1.33,-0.04,0.28
-11.49,-4.39,-1.23,1.30,-0.09,-0.02
-13.15,-4.69,-1.52,1.17,-0.04,-0.09
-14.08,-4.92,-1.60,0.95,0.17,0.30
-13.16,-4.83,-1.51,0.74,0.41,0.57
-11.05,-4.06,-1.16,0.66,0.48,0.32
-10.75,-2.65,-1.18,0.69,0.46,0.10
-11.59,-4.54,-1.13,0.73,0.54,-0.02
-11.33,-6.69,-1.51,0.45,0.67,0.24
-10.23,-5.85,-1.43,0.09,0.77,0.53
-9.21,-2.97,-1.11,-0.02,0.74,0.49
-8.43,-1.48,-1.04,0.14,0.65,0.02
-9.42,-3.55,-1.23,0.29,0.60,-0.30
-10.28,-7.10,-1.55,0.07,0.67,-0.10
-9.18,-7.27,-1.42,-0.36,0.75,0.25
-7.53,-4.87,-0.90,-0.62,0.67,0.27
-7.06,-2.72,-1.04,-0.57,0.53,-0.12
-7.03,-2.83,-1.03,-0.39,0.44,-0.66
-6.53,-4.84,-0.91,-0.40,0.35,-0.79
-6.65,-5.26,-0.92,-0.54,0.25,-0.86
-7.31,-4.40,-0.98,-0.71,0.24,-0.82
-7.44,-2.53,-0.83,-0.82,0.35,-0.55
-6.03,-0.55,-0.48,-0.79,0.42,-0.16
-5.18,-0.48,-0.52,-0.61,0.41,-0.16
-4.74,-2.04,-0.70,-0.49,0.34,-0.60
-5.18,-2.96,-1.12,-0.58,0.26,-0.81
-5.57,-1.95,-1.31,-0.79,0.24,-0.67
-5.31,-0.07,-1.35,-0.86,0.19,-0.50
-4.99,0.91,-1.28,-0.79,0.08,-0.57
-5.62,1.02,-1.82,-0.70,-0.05,-0.46
-6.55,0.53,-2.27,-0.66,-0.10,-0.33
-6.96,0.54,-2.52,-0.66,-0.10,-0.25
-6.95,1.02,-2.42,-0.63,-0.10,-0.22
-7.09,1.58,-2.29,-0.55,-0.14,-0.13
-7.84,1.19,-2.34,-0.43,-0.16,-0.17
-8.34,0.39,-2.62,-0.37,-0.12,-0.16
