ax,ay,az,gx,gy,gz
-6.70,-0.91,-2.90,-0.37,-0.30,-0.08
-7.39,-1.27,-3.03,-0.34,-0.37,-0.17
-8.01,-1.47,-3.27,-0.36,-0.39,-0.23
-8.71,-1.19,-3.08,-0.38,-0.35,-0.10
-8.42,-0.86,-3.15,-0.39,-0.27,0.08
-8.18,-0.68,-3.09,-0.36,-0.24,0.06
-8.53,-0.64,-3.26,-0.32,-0.19,-0.01
-8.50,-0.74,-3.16,-0.28,-0.13,-0.06
-8.21,-1.03,-3.16,-0.29,-0.08,-0.02
-8.20,-0.51,-3.13,-0.30,-0.06,-0.04
-8.34,-0.07,-3.04,-0.23,-0.01,-0.12
-7.91,-0.27,-3.00,-0.16,0.02,-0.16
-7.33,-0.37,-3.02,-0.12,-0.00,-0.12
-7.37,-0.30,-3.00,-0.07,-0.05,-0.15
-7.72,-0.37,-2.87,-0.01,-0.10,-0.20
-8.31,-0.80,-2.76,0.02,-0.13,-0.26
-8.87,-1.45,-2.91,0.01,-0.10,-0.24
-9.18,-1.60,-3.04,-0.06,-0.03,-0.07
-8.49,-1.07,-3.04,-0.11,0.06,0.09
-7.44,-0.62,-2.62,-0.07,0.01,0.08
-8.04,-1.21,-2.79,0.01,-0.08,-0.12
-8.81,-2.16,-3.06,-0.04,-0.09,-0.15
-9.31,-1.90,-3.17,-0.16,-0.04,-0.04
-9.12,-0.99,-3.17,-0.28,0.04,0.09
-8.24,0.58,-2.72,-0.32,0.05,0.20
-7.62,2.46,-2.43,-0.21,0.01,0.10
-7.64,3.30,-2.38,0.04,-0.02,0.01
-7.68,2.97,-2.48,0.27,-0.00,0.10
-7.74,2.37,-2.50,0.42,0.02,0.30
-8.32,1.93,-2.66,0.47,0.04,0.44
-8.37,2.22,-2.67,0.47,0.07,0.58
-8.55,3.18,-2.66,0.50,0.06,0.73
-9.63,4.08,-2.85,0.64,0.10,0.79
-9.90,4.74,-2.77,0.85,0.24,0.89
-9.27,4.76,-2.65,1.10,0.36,1.16
-8.26,3.83,-2.53,1.31,0.43,1.39
-6.76,3.29,-2.09,1.47,0.35,1.52
-7.13,2.42,-2.06,1.66,0.23,1.27
